"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2013",210.374,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2012",290,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2012",361.28,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2012",190.532,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2011",240,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2011",297.736,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2011",170.641,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2010",240,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2010",288.163,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2010",162.448,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2009",240,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2009",282.298,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2009",170.613,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2008",220,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2008",264.72,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2008",164.533,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2007",180,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2007",228.143,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2007",125.958,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2006",160,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2006",212.195,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2006",102.612,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2005",150,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2005",211.726,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2005",95.29,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
